,base_market:,quote_market:,hedge_ratio:,half_life:
0,ZEC-USD,CELO-USD,80.49500885402014,7.0
1,ALGO-USD,FIL-USD,0.056547756785456205,11.0
2,UMA-USD,1INCH-USD,3.942887318155175,9.0
3,UMA-USD,ENJ-USD,6.137865172876884,17.0
4,UMA-USD,XTZ-USD,2.0340234891425393,21.0
5,UMA-USD,LINK-USD,0.26888502380973023,8.0
6,UMA-USD,DOGE-USD,21.313356839992597,11.0
7,UMA-USD,ZRX-USD,9.804221770494946,14.0
8,UMA-USD,BCH-USD,0.015465754998621212,12.0
9,UMA-USD,RUNE-USD,1.151941033973885,12.0
10,1INCH-USD,LINK-USD,0.06818118597229164,16.0
11,1INCH-USD,YFI-USD,7.326772495476149e-05,14.0
12,1INCH-USD,MATIC-USD,0.49827527225702584,12.0
13,1INCH-USD,AVAX-USD,0.03423030741483149,23.0
14,1INCH-USD,XLM-USD,5.331792904722401,8.0
15,1INCH-USD,RUNE-USD,0.2920848514131005,24.0
16,ENJ-USD,XTZ-USD,0.33134770023521554,9.0
17,ENJ-USD,RUNE-USD,0.1876273794622782,15.0
18,CRV-USD,FIL-USD,0.17084938431991675,24.0
19,CRV-USD,CELO-USD,1.0857042236605772,11.0
20,CRV-USD,DOT-USD,0.11854043341180853,14.0
21,CRV-USD,UNI-USD,0.10084015506828567,11.0
22,SNX-USD,COMP-USD,0.046969567674929824,16.0
23,FIL-USD,ATOM-USD,0.32466205497681133,11.0
24,FIL-USD,XMR-USD,0.020984133820473268,16.0
25,CELO-USD,BTC-USD,2.9190981815122418e-05,19.0
26,CELO-USD,DOT-USD,0.1091471129869384,9.0
27,CELO-USD,UNI-USD,0.0928428745291241,10.0
28,CELO-USD,AVAX-USD,0.04264835214772924,13.0
29,CELO-USD,XLM-USD,6.641835193916277,14.0
30,XTZ-USD,RUNE-USD,0.5662346058069379,14.0
31,BTC-USD,XLM-USD,227491.89880742767,17.0
32,LINK-USD,ZRX-USD,36.46024227229636,15.0
33,YFI-USD,MATIC-USD,6799.654166298898,10.0
34,YFI-USD,BCH-USD,53.51801194653485,15.0
35,YFI-USD,XLM-USD,72754.85155641822,16.0
36,DOGE-USD,ZRX-USD,0.45995305217577137,8.0
37,ZRX-USD,RUNE-USD,0.11747627338889112,12.0
38,MATIC-USD,BCH-USD,0.007870824105583513,10.0
39,MATIC-USD,RUNE-USD,0.5861969836724026,22.0
40,BCH-USD,AVAX-USD,8.72783332671613,16.0
